ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
9400ZZNONTU1,ntmatwag,,,NTU Tram Stop,,,,Nottingham Trent University,,Goldsmith Street,,,,NET08,,,N0077199,Nottingham Trent University in City Centre,Nottingham,,Nottingham,,Nottingham Trent University,,0,U,456861,340388,-1.155011875,52.95786052,PLT,,,,,,147,2006-04-13T00:00:00,2010-11-16T10:12:00,4,rev,act
9400ZZNOUNI1,ntmwtmtm,,,University of Nottingham Tram Stop,,,,University Boulevard,,University Boulevard,,,,NET NE-bound,,,N0077200,Nottingham University Main Campus,Nottingham,,Nottingham University Main Campus,,,,0,U,454647,338071,-1.188355687,52.93726416,PLT,,,,,,147,2014-11-06T13:18:00,2014-11-06T14:33:00,1,rev,act
9400ZZNOUNI2,ntmwtmtj,,,University of Nottingham Tram Stop,,,,University Boulevard,,University Boulevard,,,,NET SW-bound,,,N0077200,Nottingham University Main Campus,Nottingham,,Nottingham University Main Campus,,,,0,U,454651,338066,-1.188297019,52.93721882,PLT,,,,,,147,2014-11-06T13:20:00,2014-11-06T14:33:00,1,rev,act
9400ZZNOSUM1,ntmwtmwd,,,Summerwood Lane Tram Stop,,,,Summerwood Lane,,Farnborough Road,,,,NET E-bound,,,E0040127,Clifton,Nottingham,,Nottingham,,,,0,U,454728,333590,-1.18790423,52.89697897,PLT,,,,,,147,2014-11-06T12:17:00,2014-11-06T14:30:00,1,rev,act
9400ZZNOSUM2,ntmwtmwa,,,Summerwood Lane Tram Stop,,,,Summerwood Lane,,Farnborough Road,,,,NET W-bound,,,E0040127,Clifton,Nottingham,,Nottingham,,,,0,U,454727,333585,-1.187919934,52.89693413,PLT,,,,,,147,2014-11-06T12:19:00,2014-11-06T14:30:00,1,rev,act
9400ZZNOTFR,,,,The Forest Tram Stop,,,,Forest Park& Ride Site,,Noel Street,,,,,,,N0060179,The Forest,Nottingham,,Nottingham,,The Forest,,1,U,456030,341185,-1.167243146,52.96511143,MET,,,,,,147,2006-04-13T00:00:00,2009-03-18T16:52:00,1,rev,act
9400ZZNOTFR1,ntmatwat,,,The Forest Tram Stop,,,,Forest Park& Ride Site,,Noel Street,,,,NET12,,,N0060179,The Forest,Nottingham,,Nottingham,,The Forest,,1,U,456027,341212,-1.167283144,52.96535443,PLT,,,,,,147,2006-04-13T00:00:00,2009-08-21T11:01:00,3,rev,act
9400ZZNOTFR2,ntmatwaw,,,The Forest Tram Stop,,,,Forest Park& Ride Site,,Noel Street,,,,NET13,,,N0060179,The Forest,Nottingham,,Nottingham,,The Forest,,1,U,456036,341216,-1.167148471,52.96538944,PLT,,,,,,147,2006-04-13T00:00:00,2009-08-21T11:02:00,3,rev,act
9400ZZNOMDE,,,,Meadows Embankment Tram Stop,,,,Wilford Toll Bridge,,Queens Walk,,,,,,,E0040140,Meadows,Nottingham,,Nottingham,,,,0,U,456975,338298,-1.153681702,52.93906298,MET,,,,,,147,2014-11-06T10:35:00,2014-11-06T14:11:00,1,rev,act
9400ZZNOMDE1,ntmwtpdt,,,Meadows Embankment Tram Stop,,,,Wilford Toll Bridge,,Queens Walk,,,,NET NE-bound,,,E0040140,Meadows,Nottingham,,Nottingham,,,,0,U,456972,338299,-1.15372616,52.93907229,PLT,,,,,,147,2014-11-06T10:37:00,2014-11-06T14:11:00,1,rev,act
9400ZZNOMDE2,ntmwtpdp,,,Meadows Embankment Tram Stop,,,,Wilford Toll Bridge,,Queens Walk,,,,NET SW-bound,,,E0040140,Meadows,Nottingham,,Nottingham,,,,0,U,456977,338296,-1.153652297,52.93904479,PLT,,,,,,147,2014-11-06T10:38:00,2014-11-06T14:11:00,1,rev,act
9400ZZNOMDW,,,,Meadows Way West Tram Stop,,,,Meadows Way,,Meadows Way,,,,,,,E0040140,Meadows,Nottingham,,Nottingham,,,,0,U,456767,338776,-1.156692781,52.94338137,MET,,,,,,147,2014-11-06T10:39:00,2014-11-06T14:14:00,1,rev,act
9400ZZNOMDW1,ntmwtpdm,,,Meadows Way West Tram Stop,,,,Meadows Way,,Meadows Way,,,,NET E-bound,,,E0040140,Meadows,Nottingham,,Nottingham,,,,0,U,456766,338780,-1.156706961,52.94341743,PLT,,,,,,147,2014-11-06T10:41:00,2014-11-06T14:14:00,1,rev,act
